function,asize,aptr,rptr
malloc,5,,0x6024bc7732b0
free,5,0x6024bc7732b0,
malloc,120,,0x6024bc7732f0
malloc,12,,0x6024bc7732d0
malloc,792,,0x6024bc773390
malloc,104,,0x6024bc7736d0
malloc,1328,,0x6024bc773760
malloc,208,,0x6024bc773cc0
malloc,424,,0x6024bc773dc0
malloc,96,,0x6024bc773f90
malloc,80,,0x6024bc774020
malloc,112,,0x6024bc7740a0
malloc,160,,0x6024bc774140
malloc,96,,0x6024bc774210
malloc,72,,0x6024bc7742a0
malloc,184,,0x6024bc774310
malloc,12,,0x6024bc7743f0
malloc,12,,0x6024bc774430
malloc,12,,0x6024bc774470
malloc,12,,0x6024bc7744b0
malloc,12,,0x6024bc7744f0
malloc,12,,0x6024bc774530
malloc,12,,0x6024bc774570
malloc,12,,0x6024bc7745b0
malloc,12,,0x6024bc7745f0
malloc,12,,0x6024bc774630
malloc,12,,0x6024bc774670
malloc,12,,0x6024bc7746b0
malloc,12,,0x6024bc7746f0
free,,(nil),
free,,(nil),
malloc,34,,0x6024bc774730
malloc,10,,0x6024bc774780
malloc,128,,0x6024bc7747c0
free,,(nil),
malloc,15,,0x6024bc774870
malloc,472,,0x6024bc7748b0
free,,(nil),
malloc,4096,,0x6024bc774ab0
malloc,1404,,0x6024bc775ae0
free,4096,0x6024bc774ab0,
free,472,0x6024bc7748b0,
malloc,20,,0x6024bc774a90
malloc,21,,0x6024bc774ab0
malloc,20,,0x6024bc774af0
malloc,21,,0x6024bc774b30
free,,(nil),
malloc,1024,,0x6024bc774b70
free,1024,0x6024bc774b70,
