function,asize,aptr,rptr
malloc,32,,0x23a282b0
malloc,32,,0x23a28300
malloc,32,,0x23a28350
malloc,32,,0x23a283a0
malloc,32,,0x23a283f0
malloc,32,,0x23a28440
malloc,32,,0x23a28490
malloc,32,,0x23a284e0
malloc,32,,0x23a28530
malloc,2,,0x23a28580
malloc,5,,0x23a285c0
free,5,0x23a285c0,
malloc,120,,0x23a28600
malloc,12,,0x23a285e0
malloc,792,,0x23a286a0
malloc,104,,0x23a289e0
malloc,1328,,0x23a28a70
malloc,208,,0x23a28fd0
malloc,424,,0x23a290d0
malloc,96,,0x23a292a0
malloc,80,,0x23a29330
malloc,112,,0x23a293b0
malloc,160,,0x23a29450
malloc,96,,0x23a29520
malloc,72,,0x23a295b0
malloc,184,,0x23a29620
malloc,12,,0x23a29700
malloc,171,,0x23a29740
free,,(nil),
malloc,8,,0x23a29820
calloc,32,,0x23a29860
malloc,208,,0x23a298b0
malloc,208,,0x23a299b0
malloc,32,,0x23a29ab0
free,,(nil),
free,12,0x23a29700,
free,171,0x23a29740,
free,,(nil),
free,2,0x23a28580,
free,32,0x23a29ab0,
free,8,0x23a29820,
free,,(nil),
malloc,12,,0x23a29840
malloc,171,,0x23a29740
free,,(nil),
malloc,8,,0x23a285a0
malloc,32,,0x23a29ab0
free,,(nil),
free,,(nil),
free,,(nil),
free,,(nil),
free,,(nil),
free,,(nil),
free,,(nil),
free,,(nil),
free,,(nil),
free,,(nil),
free,,(nil),
free,,(nil),
free,,(nil),
free,,(nil),
free,,(nil),
free,,(nil),
free,,(nil),
free,,(nil),
free,,(nil),
free,,(nil),
free,,(nil),
free,,(nil),
free,,(nil),
free,,(nil),
free,,(nil),
free,,(nil),
free,,(nil),
free,,(nil),
free,,(nil),
free,,(nil),
malloc,8,,0x23a29720
malloc,32,,0x23a29b00
free,,(nil),
free,,(nil),
free,,(nil),
free,,(nil),
free,,(nil),
free,,(nil),
free,,(nil),
free,,(nil),
free,,(nil),
free,,(nil),
free,,(nil),
free,,(nil),
free,,(nil),
free,,(nil),
free,,(nil),
free,,(nil),
free,,(nil),
free,,(nil),
free,,(nil),
free,,(nil),
free,,(nil),
malloc,8,,0x23a29b50
malloc,32,,0x23a29b90
free,,(nil),
malloc,8,,0x23a29be0
malloc,32,,0x23a29c20
free,,(nil),
malloc,4,,0x23a29c70
realloc,8,(nil),0x23a29cb0
free,32,0x23a29b00,
free,8,0x23a29720,
free,,(nil),
free,,(nil),
free,,(nil),
free,,(nil),
malloc,24,,0x23a29720
malloc,24,,0x23a29b30
free,,(nil),
free,24,0x23a29720,
malloc,64,,0x23a29d10
free,,(nil),
malloc,24,,0x23a29820
malloc,24,,0x23a29d80
free,,(nil),
free,24,0x23a29820,
malloc,28,,0x23a29b00
free,,(nil),
malloc,32,,0x23a29dc0
free,,(nil),
free,32,0x23a29c20,
free,8,0x23a29be0,
free,,(nil),
malloc,8,,0x23a29be0
malloc,32,,0x23a29c20
free,,(nil),
malloc,976,,0x23a29df0
malloc,32,,0x23a2a1f0
free,,(nil),
free,,(nil),
free,,(nil),
free,,(nil),
free,,(nil),
free,,(nil),
free,,(nil),
free,,(nil),
free,,(nil),
free,,(nil),
free,,(nil),
free,,(nil),
free,,(nil),
free,,(nil),
free,,(nil),
free,,(nil),
free,,(nil),
free,,(nil),
free,,(nil),
free,,(nil),
free,,(nil),
free,,(nil),
free,,(nil),
free,,(nil),
free,,(nil),
free,,(nil),
free,,(nil),
free,,(nil),
free,,(nil),
malloc,8,,0x23a2a240
malloc,4,,0x23a2a280
free,,(nil),
free,,(nil),
free,,(nil),
free,,(nil),
free,,(nil),
free,,(nil),
free,,(nil),
free,,(nil),
free,,(nil),
free,,(nil),
free,,(nil),
free,,(nil),
malloc,24,,0x23a2a2c0
free,,(nil),
malloc,64,,0x23a2a300
free,,(nil),
malloc,24,,0x23a2a370
free,,(nil),
malloc,28,,0x23a2a3b0
free,,(nil),
free,,(nil),
free,,(nil),
free,,(nil),
malloc,32,,0x23a2a400
free,,(nil),
malloc,8,,0x23a2a450
malloc,32,,0x23a2a490
free,,(nil),
calloc,288,,0x23a2a4e0
free,288,0x23a2a4e0,
malloc,80,,0x23a2a630
malloc,128,,0x23a2a690
realloc,768,(nil),0x23a2a740
calloc,262144,,0x7c88fca56010
calloc,131072,,0x7c88fca35010
malloc,32,,0x23a2aab0
malloc,32,,0x23a2ab00
malloc,32,,0x23a2ab50
malloc,32,,0x23a2aba0
